message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
華麗櫥窗裡的薑餅屋，一看就好有聖誕fu，沒想到可以親手做耶！帶孩子來麥當勞學做薑餅屋，烘焙出暖烘烘、香噴噴的聖誕節。快來麥當勞報名吧！,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/679671912075496/?type=3,https://www.facebook.com/mcdonalds.tw/posts/679672102075477:0,2013-12-19T05:29:56+0000,photo,Timeline Photos,101615286547831_679671912075496,37,974,NONE,974,false,false,chronological,13,false,,,,,,,,,,
"看Cherng's吃了熊心豹子膽，夠狠辣，
就能不費吹灰之力就稱王！
『麥當勞辣味無雙PK戰』最終戰役『狠辣爆發力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/678606302182057/?type=3,https://www.facebook.com/mcdonalds.tw/posts/678620048847349:0,2013-12-17T06:45:48+0000,photo,Timeline Photos,101615286547831_678606302182057,60,9913,NONE,9913,false,false,chronological,50,false,227914967279486,Cherng,page,1,8,,,,,
"在地球做井底之辣，不如辣上外太空！
快看掰掰啾啾現狠辣的出口竟是…
『麥當勞辣味無雙PK戰』最終戰役『狠辣爆發力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/678606155515405/?type=3,https://www.facebook.com/mcdonalds.tw/posts/678620032180684:0,2013-12-17T06:45:44+0000,photo,Timeline Photos,101615286547831_678606155515405,22,4097,NONE,4097,false,false,chronological,34,false,119576904728174,掰掰啾啾 Byebyechuchu,page,20,4,,,,,
"明天登場『辣味無雙PK戰』最終戰，
暫時領先的Cherng's ~大辣辣嗆聲囉！
嘿嘿~ 掰掰啾啾已想出史上最毒辣爆笑的梗！
馬來貘也擠出畢生代表作！
辣中王最後一役，緊張刺激，明天等你按讚決勝！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/678145602228127/?type=3,https://www.facebook.com/mcdonalds.tw/posts/678145962228091:0,2013-12-15T17:04:00+0000,photo,Timeline Photos,101615286547831_678145602228127,92,12926,NONE,12926,false,false,chronological,48,false,227914967279486,Cherng,page,23,8,119576904728174,掰掰啾啾 Byebyechuchu,page,45,4
"天氣涼涼的~好懷念去熱情的泰國玩喔！
到不了的地方，就用美味吧！現在套餐+＄10升級大薯，加送泰式香檸搖搖粉，清香又爽口，一吃就想說：『三碗滴咖』！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/676482885727732/?type=3,https://www.facebook.com/mcdonalds.tw/posts/676482892394398:0,2013-12-13T12:21:14+0000,photo,Timeline Photos,101615286547831_676482885727732,72,2080,NONE,2080,false,false,chronological,49,false,,,,,,,,,,
"掰掰啾啾聯手圓仔，
讓對手馬來貘聽見自尊破碎的聲音！
『麥當勞辣味無雙PK戰』第四回合『猛辣攻擊力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/675564325819588/?type=3,https://www.facebook.com/mcdonalds.tw/posts/675790689130285:0,2013-12-12T02:00:00+0000,photo,Timeline Photos,101615286547831_675564325819588,109,10408,NONE,10408,false,false,chronological,1300,false,119576904728174,掰掰啾啾 Byebyechuchu,page,0,4,,,,,
"Cherng's心機超深，假裝弱者，再一招讓敵人斃命！
你當馬來貘吃素的好欺負啊！
『麥當勞辣味無雙PK戰』第四回合『猛辣攻擊力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/675598135816207/?type=3,https://www.facebook.com/mcdonalds.tw/posts/675790692463618:0,2013-12-12T02:00:00+0000,photo,Timeline Photos,101615286547831_675598135816207,9,5119,NONE,5119,false,false,chronological,52,false,227914967279486,Cherng,page,0,8,,,,,
"再冷，也不該拿敵人的體溫來暖自己啊！
Cherng's有練過，大家不要學！
『麥當勞辣味無雙PK戰』第三回合『火辣抗寒力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/674461499263204/?type=3,https://www.facebook.com/mcdonalds.tw/posts/674717752570912:0,2013-12-10T02:00:00+0000,photo,Timeline Photos,101615286547831_674461499263204,154,12260,NONE,12260,false,false,chronological,58,false,227914967279486,Cherng,page,19,8,,,,,
"冬天，其實你冷的不是身體！
掰掰啾啾你眼睛吃辣妹，火熱到發燒！
『麥當勞辣味無雙PK戰』第三回合『火辣抗寒力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/674461202596567/?type=3,https://www.facebook.com/mcdonalds.tw/posts/674717765904244:0,2013-12-10T02:00:00+0000,photo,Timeline Photos,101615286547831_674461202596567,14,4009,NONE,4009,false,false,chronological,180,false,119576904728174,掰掰啾啾 Byebyechuchu,page,14,4,,,,,
"被Cherng's視為死敵的圓仔，女大18變辣妹，馬來貘會轉性愛上她嗎？『麥當勞辣味無雙PK戰』第二回合『辣妹誘惑力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/672522556123765/?type=3,https://www.facebook.com/mcdonalds.tw/posts/672960522746635:0,2013-12-07T02:00:01+0000,photo,Timeline Photos,101615286547831_672522556123765,9,4427,NONE,4427,false,false,chronological,13,false,227914967279486,Cherng,page,1,8,,,,,
