message,link,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,name,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"Happy端午，麥當勞挺你…
期末考，奪標！
業績分紅，奪標！
真愛，奪標！

快按讚奪標喔！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/981721035203914/?type=3,https://www.facebook.com/mcdonalds.tw/posts/981721035203914:0,2015-06-20T02:00:01+0000,photo,101615286547831_981721035203914,77,6000,NONE,6000,false,false,chronological,28,false,Timeline Photos,,,,,,,,,,
"端午連假計劃出遊了嗎？『HAPPY行動故事車』全台巡迴終點站-新竹登場囉!
快來看麥當勞叔叔使出大絕招，在『行動故事劇場』與孩子們同樂！還有滿車的優質童書可以親子共讀喔！快帶寶貝體驗吧！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/981719615204056/?type=3,https://www.facebook.com/mcdonalds.tw/posts/981719615204056:0,2015-06-18T02:00:01+0000,photo,101615286547831_981719615204056,6,481,NONE,481,false,false,chronological,6,false,Timeline Photos,,,,,,,,,,
"夫端午佳節至，問世間燒肉粽，孰能絕配也？
『麥當勞冰炫風 第2杯半價』只限6/17-6/23，食完肉粽再食冰，燥熱Out，豈不快哉！

和屈原歡慶端午>>http://bitly.com/McFlurry4",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/978812362161448/?type=3,https://www.facebook.com/mcdonalds.tw/posts/978812362161448:0,2015-06-17T06:00:00+0000,photo,101615286547831_978812362161448,780,21956,NONE,21956,false,false,chronological,476,false,Timeline Photos,,,,,,,,,,
"神在創造麥當勞叔叔的時候...
快樂和人氣都滿滿滿出來了，至於帥哥的成分…好像就不那麼重要囉！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/979110262131658/?type=3,https://www.facebook.com/mcdonalds.tw/posts/979110262131658:0,2015-06-12T10:13:32+0000,photo,101615286547831_979110262131658,83,6559,NONE,6559,false,false,chronological,29,false,Timeline Photos,,,,,,,,,,
"緊急預報：雙炫風，本周末襲台！
別緊張！是『冰炫風 第2杯半價』來襲，只限6/12-14三天喔，快緊急揪好友，甜蜜接招吧！

找最近麥當勞>>http://bitly.com/McFlurry3",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/977592882283396/?type=3,https://www.facebook.com/mcdonalds.tw/posts/977592882283396:0,2015-06-12T06:00:01+0000,photo,101615286547831_977592882283396,866,19718,NONE,19718,false,false,chronological,598,false,Timeline Photos,,,,,,,,,,
"【麥當勞「 “Coca-Cola”年份曲線杯」畫說時代之旅-6 】
2015，“可口可樂”歡慶曲線瓶100週年！菲律賓畫家Ivan Despi以2015年馬尼拉嘉年華為主題，運用現代手法詮釋歡樂的多元樣貌，表現出彩色無比繽紛的盛世慶典。「 “Coca-Cola”年份曲線杯」6款不同年份，全套收藏才夠樂，只在麥當勞！
 
買任一經典套餐，薯條及飲料升級
送“Coca-Cola”年份曲線杯一個 http://bitly.com/cokeglass8",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/969448199764531/?type=3,https://www.facebook.com/mcdonalds.tw/posts/969448199764531:0,2015-06-12T02:00:01+0000,photo,101615286547831_969448199764531,98,30052,NONE,30052,false,false,chronological,60,false,Timeline Photos,,,,,,,,,,
"週末假日何處去？本週『HAPPY行動故事車』巡迴倒數第二場來桃園囉！
麥當勞叔叔的『行動故事劇場』，讓小朋友聽故事、看童書，與大小朋友一起度過週末歡樂時光！

下週巡迴到哪去？快加入『麥麥童樂會 』或上網  http://bit.ly/mcdbook1",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/976940352348649/?type=3,https://www.facebook.com/mcdonalds.tw/posts/976940352348649:0,2015-06-11T02:00:00+0000,photo,101615286547831_976940352348649,16,390,NONE,390,false,false,chronological,5,false,Timeline Photos,845235395538285,麥麥童樂會,page,93,5,,,,,
"京都宇治 X 南投名間，台日抹茶經典血統，完美混血誕生！
『抹茶碧玉聖代、冰炫風』全球唯獨台灣販售，濃醇回甘，顛覆吃冰新質感！

立即找最近麥當勞>http://bitly.com/McFlurry2",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/973807575995260/?type=3,https://www.facebook.com/mcdonalds.tw/posts/973807575995260:0,2015-06-10T06:00:01+0000,photo,101615286547831_973807575995260,878,26256,NONE,26256,false,false,chronological,826,false,Timeline Photos,,,,,,,,,,
"【麥當勞「 “Coca-Cola”年份曲線杯」畫說時代之旅-5 】
1994，北極熊為“可口可樂”代言，這也是台灣街頭文化的黃金時期。畫家Sean Wei的作品不只融入台灣特色，也充滿刺青、嘻哈、電音與獨立搖滾等元素。「 “Coca-Cola”年份曲線杯」6款不同年份，全套收藏才夠樂，只在麥當勞！
 
買任一經典套餐，薯條及飲料升級
送“Coca-Cola”年份曲線杯一個 http://bitly.com/cokeglass7",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/969447913097893/?type=3,https://www.facebook.com/mcdonalds.tw/posts/969447913097893:0,2015-06-10T02:00:01+0000,photo,101615286547831_969447913097893,105,24382,NONE,24382,false,false,chronological,46,false,Timeline Photos,,,,,,,,,,
"跟著151，尋找金色奇鷄！

來去好山好水的宜蘭，吃到麥當勞邂逅宜蘭名產的好料！",https://www.facebook.com/mcdonalds.tw/videos/976283689080982/,https://www.facebook.com/mcdonalds.tw/videos/976283689080982/,2015-06-09T08:00:00+0000,video,101615286547831_976283689080982,269,5705,NONE,5705,false,false,chronological,66,false,,,,,,,,,,,
"【麥當勞「 “Coca-Cola”年份曲線杯」畫說時代之旅-4 】
1961，“可口可樂”曲線瓶成為註冊商標。日本Zouzou Sakai以愛描繪動物、鳥類與昆蟲聞名。這是他啟發自1961年的想像世界，表現日本傳統幸福與人類對未來的承諾。「 “Coca-Cola”年份曲線杯」6款不同年份，全套收藏才夠樂，只在麥當勞！
 
買任一經典套餐，薯條及飲料升級
送“Coca-Cola”年份曲線杯一個 http://bitly.com/cokeglass6",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/969447169764634/?type=3,https://www.facebook.com/mcdonalds.tw/posts/969447169764634:0,2015-06-08T02:00:01+0000,photo,101615286547831_969447169764634,11,953,NONE,953,false,false,chronological,14,false,Timeline Photos,,,,,,,,,,
