message,link,permalink_url,created_time,type,name,id,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,shares/count
http://gph.is/20behYK,https://www.facebook.com/kfctaiwan/posts/1076945109044717,2016-01-25T16:00:01+0000,link,gph.is,324273577645211_1076945109044717,434,19106,NONE,19106,false,false,ranked,215,false,"快來玩～2016  開運喜扒啦！

最佳伴手禮，就屬肯德基 瑪奇朵QQ蛋撻
一盒六入齊享用，你一口、我一口分享給家人和小朋友～
讓你怎麼吃都很順！   >>馬上六六大順  https://goo.gl/msDTay"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1077624652310096/?type=3,https://www.facebook.com/kfctaiwan/posts/1077624652310096:0,2016-01-22T10:43:26+0000,photo,Timeline Photos,324273577645211_1077624652310096,24,497,NONE,497,false,false,ranked,30,false,"全台急凍!!  冷到連台北市都可能要下雪!!
這種天氣!!  你還要出門買吃的!? 有沒有搞錯?!

就讓爺爺幫大家”避冬”吧!! 
訂肯德基外送，在家暖呼呼
還可以吃到酥脆的咔啦脆雞和香濃的蛋撻！
而且滿額免運費～

真的是太幸福了阿阿阿~~~(淚奔)

快來避冬!!!

迷之聲: 新上市的黃金開運起司雞~真的揪猴甲阿~~
網路訂外送/外帶：https://goo.gl/3nEGI8
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1076979225707972/?type=3,https://www.facebook.com/kfctaiwan/posts/1076979225707972:0,2016-01-21T07:53:13+0000,photo,Timeline Photos,324273577645211_1076979225707972,110,3203,NONE,3203,false,false,ranked,78,false,"【截圖分享-限時美味538】
★最適合與家人、朋友一同歡聚共享的美味．出示截圖即享優惠★ 4塊黃金開運起司雞+4塊炸雞+烤炸拼盤+4塊上校雞塊，分享價只要$538，立即“截圖分享”好康優惠吧！
活動時間自2016/1/15-2/29止
更多優惠券： http://goo.gl/pZaOhr"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1076450725760822/?type=3,https://www.facebook.com/kfctaiwan/posts/1076450725760822:0,2016-01-20T11:42:11+0000,photo,Timeline Photos,324273577645211_1076450725760822,9,236,NONE,236,false,false,ranked,1,false,"從小萌娃、上班女郎、家庭主婦都超愛的國民甜點～
還有誰也很愛卻被團長漏掉的？歡迎發聲！"
http://gph.is/1U8U5mG,https://www.facebook.com/kfctaiwan/posts/1075845509154677,2016-01-19T16:00:01+0000,link,gph.is,324273577645211_1075845509154677,1191,16561,NONE,16561,false,false,ranked,2709,false,"過年求籤不必人擠人！肯德基包你萬事大吉！
無論求子求財求姻緣、求學求官求健康，你有求，我必應！快來試手氣～

※活動辦法
步驟一：截圖抽到的籤詩畫面，並上傳至本活動下方留言處
步驟二：留言中Tag四位親友 (如:@王大雄、@多啦Ａ夢、@李小華、@阿猛)，沾沾你的好運氣
步驟三：送出成功後，就有機會免費獲得KFC「黃金開運餐」一份，與家人好友共享開運美味
>>看更多KFC黃金開運餐  http://goo.gl/T0PBXA  

※活動時間：1/20 (三) 0:00 ~ 1/27 (三) 23:59止
※免費份數：總計20份 
※抽獎辦法：於1/28 (四)抽出20組名額，可獲得「黃金開運餐」一份 (黃金開運起司雞*5+咔啦脆雞*5 + 原味蛋撻禮盒+上校雞塊*4+大薯*1+瓶可*1 ，價值598元)，並於KFC粉絲專頁公告中獎名單，並於KFC粉絲專頁公告中獎名單，請中獎者於2/1(一)下午15:00-17:00於指定餐廳取餐，與親朋友好一起分享好運。 

※注意事項： 
1. 台灣肯德基將隨機抽出中獎人，並以Facebook訊息聯繫中獎人，請於指定時間內提供真實姓名、聯絡電話、地址或取餐餐廳，逾期即視同放棄。若無法接受取餐時間，則視同放棄得獎機會。 
2. 本活動僅限肯德基餐廳服務範圍內，若無法提供服務範圍內之地點，則視同放棄得獎機會。台灣肯德基餐廳服務範圍以官方網站公告為準：http://goo.gl/z3Bmbb。 
3. 可參與抽獎的留言時間為1/20 (三) 0:00 ~ 1/27 (三) 23:59止，20位中獎人恕不重複中獎。
4. 肯德基將以中獎者Facebook名稱於1/28 (四)公告中獎名單。
5. 本活動如有任何因電腦、網路、電話、技術或其他不可歸責於主辦單位之事由，而使參與本活動者所登錄之資料有所遺失、錯誤、無法辨識或毀損所導致資料無效之狀況，台灣肯德基皆不負任何法律責任，參加者與得獎者亦不得異議。 
6. 如遇不可抗力之因素，主辦單位保有隨時修改活動辦法及獎項或終止本活動或變更同等價值商品之權利。
7. 中獎人提供之個人資料僅供本活動聯繫使用。
8. 參與此活動即代表已詳讀且同意各注意事項內容。"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1073162979422930/?type=3,https://www.facebook.com/kfctaiwan/posts/1073162979422930:0,2016-01-15T16:24:35+0000,photo,Timeline Photos,324273577645211_1073162979422930,285,8827,NONE,8827,false,false,ranked,174,false,"激省時段來臨！快把握年前省錢大「食機」
　
不論是超人氣的咔啦雞腿堡套餐，或最新的黃金開運起司雞餐，
通通激省價 $99元起～實在猴省阿！
肯德基激省午晚餐，讓你財運大吉！
>>立即省 https://goo.gl/3b6wSd"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1073250136080881/?type=3,https://www.facebook.com/kfctaiwan/posts/1073250136080881:0,2016-01-15T10:05:31+0000,photo,Timeline Photos,324273577645211_1073250136080881,12,327,NONE,327,false,false,ranked,4,false,"明天就是投票日啦！！！
大家準備好投下神聖的一票了嗎？
爺爺陪你一起關心誰是超人氣候選員!
看開票就是要訂肯德基外送，
美食到府免出門，開票過程不錯過！

網路訂外送/外帶：https://goo.gl/3nEGI8
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1072798602792701/?type=3,https://www.facebook.com/kfctaiwan/posts/1072798602792701:0,2016-01-15T04:33:50+0000,photo,Timeline Photos,324273577645211_1072798602792701,923,7821,NONE,7799,false,false,ranked,232,false,"【截圖分享-咔拉雙脆限時109】
★咔啦雙脆美味登場．出示截圖即享優惠★
咔啦雞腿堡+咔啦脆雞+小杯可樂，驚爆價只要$109，立即“截圖分享”親朋好友吧！
活動時間自2016/1/15-2/29止
更多優惠券： http://goo.gl/kmYOVC"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1073066156099279/?type=3,https://www.facebook.com/kfctaiwan/posts/1073066156099279:0,2016-01-15T02:56:12+0000,photo,Timeline Photos,324273577645211_1073066156099279,298,783,NONE,782,false,false,ranked,41,false,"賺到啦！激省午晚餐通通$99元起
多重選擇，滿足你每日的胃口需求
別和荷包過不去，來肯德基激省一下就對了！
激省價$99元：咔啦雞腿堡套餐、八塊上校雞塊餐、紐奧良烙烤雞腿堡套餐
激省價$119元：墨西哥莎莎霸王捲套餐；
激省價$129元：吮指雙雞套餐、黃金開運起司雞餐、乳酪起司雞腿堡餐、義式香草紙包雞、美式BBQ醬烤煙燻雞餐。

※優惠時段：中餐10:30~14:00，晚餐17:00~20:00

線上點餐外送/外帶:https://goo.gl/xvL7YT"
https://www.kfcorder.com.tw/m/?utm_source=FB_cpc&utm_medium=ppa_link&utm_campaign=OOS0115_CO_pepsi,https://www.facebook.com/kfctaiwan/posts/1071730976232797,2016-01-14T16:00:00+0000,link,肯德基預訂快取專屬優惠,324273577645211_1071730976232797,311,4355,NONE,4355,false,false,ranked,66,false,"看到哪個英文字，眼睛必發亮?
 答案是...FREE！ヽ(*´∀`)ノ
肯德基回饋粉絲福利來囉！快用預訂快取獨享FREE好康！

於1/15 -  2/29 使用網路預訂快取服務到店取餐，取餐時出示本則FB圖片，就送你百事可樂330ml乙罐！數量有限，送完為止喔！
桌機預訂快取：https://goo.gl/riQqPJ
手機預訂快取：https://goo.gl/2qpC2f

活動注意事項∶
1) 此優惠僅適用於網路預訂快取服務，不適用外送服務；數量有限，贈完為止
2) 預訂快取單筆訂單限領乙次優惠，恕不得與其他優惠併用，活動詳情請洽各活動門市人員
3) 部份餐廳恕不開放預訂快取服務，請以肯德基訂餐系統為準"
https://www.facebook.com/kfctaiwan/videos/1070420149697213/,https://www.facebook.com/kfctaiwan/videos/1070420149697213/,2016-01-11T16:00:00+0000,video,,324273577645211_1070420149697213,51,2116,NONE,2116,false,false,ranked,30,false,"過年哪款伴手禮吉利又討喜？
男女老少都無法抗拒的魔性甜點：肯德基雙色蛋撻禮盒！
一盒六入全家吃甜甜，六六大順過好年！
>>更多優惠 https://goo.gl/KGHmGz"
https://www.facebook.com/kfctaiwan/videos/1067894839949744/,https://www.facebook.com/kfctaiwan/videos/1067894839949744/,2016-01-07T03:24:40+0000,video,肯德基黃金開運起司雞_夜市篇,324273577645211_1067894839949744,186,3155,NONE,3155,false,false,ranked,111,false,新年開運首選秘方!!肯德基黃金開運起司雞，裹上濃郁起司醬，口口爆濃起司，讓您一咬就開運!
https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/1067894553283106/?type=3,https://www.facebook.com/kfctaiwan/posts/1067894629949765,2016-01-07T03:08:43+0000,photo,KFC's cover photo,324273577645211_1067894553283106,9,244,NONE,244,false,false,ranked,0,false,
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1067402749998953/?type=3,https://www.facebook.com/kfctaiwan/posts/1067402749998953:0,2016-01-06T08:38:54+0000,photo,Timeline Photos,324273577645211_1067402749998953,14,347,NONE,347,false,false,ranked,11,false,"濃郁咖啡香、Q彈麻糬、享受多層次口感～
肯德基瑪奇朵QQ雙色蛋撻禮盒，爆棚熱賣中！
還沒吃過新蛋撻的粉絲，快快下載嘗鮮券，兩顆只要$49！(原價$66)
https://goo.gl/mI7HhZ"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1067295533343008/?type=3,https://www.facebook.com/kfctaiwan/posts/1067295533343008:0,2016-01-06T03:32:35+0000,photo,Timeline Photos,324273577645211_1067295533343008,152,630,NONE,630,false,false,ranked,46,false,"2016新年快樂! 

肯德基為您獻上黃金開運好味道，邀粉絲們一起嘗鮮! 黃金開運起司雞，淋上黃金切達風味起司醬，再撒上帕馬森起司粉，讓您口口都吃的到爆濃起司!
黃金開運起司雞X1+咔拉脆雞X1+中可X1 出示本嘗鮮券只要$105! 明天1/7起新品上市，期間限定只到2月22號，黃金好滋味錯過可惜喔~"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1065378243534737/?type=3,https://www.facebook.com/kfctaiwan/posts/1065378243534737:0,2016-01-03T03:42:06+0000,photo,Timeline Photos,324273577645211_1065378243534737,9,333,NONE,333,false,false,ranked,4,false,放假就是要吃下午茶！請來一顆瑪奇朵QQ蛋撻和LAVAZZA！優雅享受美好生活~
http://gph.is/1YQhrDY,https://www.facebook.com/kfctaiwan/posts/1063649700374258,2015-12-31T16:00:32+0000,link,gph.is,324273577645211_1063649700374258,101,12984,NONE,12984,false,false,ranked,55,false,"逼、逼、逼、太犯規了！ 是誰享有免排隊特權?！
排隊人潮再多，使用『肯德基預訂快取』，專屬通道免等待，誰也擋不住你！滿額再享專屬優惠喔！
👉 https://goo.gl/UNWO8B"
