message,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,link,name
肚子餓了嗎！快去麥當勞呷飽飽！還能和麥當勞叔叔之家一起給遠地就醫兒童最棒的家。現在馬上至全省麥當勞響應10元義賣【希望麥麥書籤】，小小希望擴大愛！ http://bit.ly/mcdrmhc,https://www.facebook.com/mcdonalds.tw/posts/553316454711043:0,2013-05-14T04:00:01+0000,photo,101615286547831_553031994739489,162,1624,NONE,1624,false,false,chronological,36,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/553031994739489/?type=3,Timeline Photos
天天都是母親節！明天，依然要對媽媽好一點，早上邀請媽媽一起去麥當勞，享用免費咖啡。跟媽媽喝杯咖啡，把最好的時刻，留給最親的人！  http://bitly.com/mondaycafe,https://www.facebook.com/mcdonalds.tw/posts/552597391449616:0,2013-05-12T12:00:00+0000,photo,101615286547831_551753931533962,105,2459,NONE,2459,false,false,chronological,37,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/551753931533962/?type=3,Timeline Photos
今天母親節，什麼是全天下媽媽最想要的禮物？在日常每一天，表現你的關心貼心細心耐心和愛心，才是無價的五心級母親節禮物啊！不妨從今晚開始實踐，叫24hr歡樂送，讓媽媽不必下廚，展現心意吧！ http://bitly.com/mcdnight,https://www.facebook.com/mcdonalds.tw/posts/552437204798968:0,2013-05-12T02:00:00+0000,photo,101615286547831_551752144867474,65,3846,NONE,3846,false,false,chronological,61,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/551752144867474/?type=3,Timeline Photos
"一忙就錯過用餐時間，這時候哪裡吃得到大大大滿足？
大麥克餐，限期狂降價，現在全天都只要＄99！！隨時享受一層又一層的大滿足！  http://bit.ly/mcdbigmac",https://www.facebook.com/mcdonalds.tw/posts/551204474922241:0,2013-05-09T02:00:02+0000,photo,101615286547831_550970784945610,645,4820,NONE,4820,false,false,chronological,84,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/550970784945610/?type=3,Timeline Photos
誰說小週末夜，不能跟週末夜一樣精采！？和好同事玩Dress code吧！穿戴上約定好的星星耳環、T-shirt…下班後來麥當勞晚餐，再分享最帥最美的照片，讓其他朋友錯以為今晚是週末夜呢！ http://bitly.com/mcdnight,https://www.facebook.com/mcdonalds.tw/posts/550881934954495:0,2013-05-08T08:00:01+0000,photo,101615286547831_550852551624100,20,1746,NONE,1746,false,false,chronological,20,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/550852551624100/?type=3,Timeline Photos
想讓早晨有氧又清新？早餐只要點豬肉滿福堡加蛋套餐，就送Extra潔淨無糖口香糖(原價$20)，給你好元氣更有好口氣！數量有限送完為止！ http://bitly.com/mcdmcsp,https://www.facebook.com/mcdonalds.tw/posts/550733248302697:0,2013-05-07T22:00:00+0000,photo,101615286547831_550607724981916,247,3078,NONE,3078,false,false,chronological,24,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/550607724981916/?type=3,Timeline Photos
過了週末，忙碌的一週即將開始，列下大大小小待辦事項的同時，也記得給自己留個空檔，喘口氣囉～http://bitly.com/mondaycafe,https://www.facebook.com/mcdonalds.tw/posts/549650615077627:0,2013-05-05T12:00:01+0000,photo,101615286547831_548852718490750,68,1689,NONE,1689,false,false,chronological,21,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/548852718490750/?type=3,Timeline Photos
每次和朋友約晚餐，大家想吃的都不一樣，餐廳真難選啊！！現在麥當勞超值晚餐優惠加價購，任你加點前菜、湯、甜品，只要＄25起，吃得越豐盛越超值，每個人都找得到屬於自己口味和份量，皆大歡喜！  http://youtu.be/2hZ0M0nI_Sw,https://www.facebook.com/mcdonalds.tw/posts/548815705161118,2013-05-03T09:22:17+0000,video,101615286547831_548815705161118,20,757,NONE,757,false,false,chronological,24,false,http://youtu.be/2hZ0M0nI_Sw,McDonald's 超值晚餐優惠加價購 邀請篇
"平常上班行程這麼滿，勞動節最好做什麼?
最好什‧麼‧也‧不‧做！連晚餐也不必自己做，就來麥當勞吃，玩玩手機、看看街景…享受徹底放空的特權吧！http://bitly.com/mcdnight",https://www.facebook.com/mcdonalds.tw/posts/547880605254628:0,2013-05-01T10:00:00+0000,photo,101615286547831_547460088630013,36,3329,NONE,3329,false,false,chronological,39,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/547460088630013/?type=3,Timeline Photos
"每個早晨都和時間賽跑嗎？
麥當勞貼心小提醒，別忘了好好吃頓早餐，為一天的活力與效率加分! 到麥當勞買豬肉滿福堡加蛋套餐(含薯餅及飲料)，還送舒潔淨紙巾(數量有限，送完為止)，用活力清新對自己說聲「早安、加油!」 http://bitly.com/mcdmcsp",https://www.facebook.com/mcdonalds.tw/posts/547490875293601:0,2013-04-30T13:00:06+0000,photo,101615286547831_547490868626935,286,3172,NONE,3172,false,false,chronological,31,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/547490868626935/?type=3,Timeline Photos
,https://www.facebook.com/mcdonalds.tw/posts/547090448666977,2013-04-29T13:23:17+0000,photo,101615286547831_528603113849044,10,1958,NONE,1958,false,false,chronological,48,false,https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/528603113849044/?type=3,麥當勞's cover photo
