message,link,permalink_url,created_time,type,name,id,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,shares/count
,https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/1257752547630638/?type=3,https://www.facebook.com/kfctaiwan/posts/1257752694297290,2016-08-30T02:36:45+0000,photo,KFC's cover photo,324273577645211_1257752547630638,237,NONE,233,false,false,ranked,7,false,9
"登愣！烤肉烤到灰頭土臉 連嫦娥玉兔都哭哭！
賣烤！肯德基-南洋沙嗲烤雞立馬解圍！
中秋就推這一味>>http://goo.gl/CVjUeL
#肯德基南洋沙嗲烤雞 #中秋烤肉 #免烤法寶 #嫦娥玉兔",http://goo.gl/CVjUeL,https://www.facebook.com/kfctaiwan/posts/1256843424388217,2016-08-29T16:00:02+0000,link,中秋免烤法寶，就靠肯德基南洋沙嗲烤雞！,324273577645211_1256843424388217,3105,NONE,3074,false,false,ranked,16,false,36
"【截圖享優惠-免費升級中可 】
$99群星餐-雙星出擊！新推出「美式煙燻薯餅雞腿捲餐$99」&「德州辣醬經典薯餅雞腿堡餐$99」！
出示此嚐鮮券編號K-17，飲料免費升級”中可”！活動時間自2016/8/30-10/03止
＃美式煙燻雞腿捲可換德州辣醬雞腿堡團長決定各吃1次
＃一盒有捲餅加脆腿條加小薯加小可
＃出示截圖即享優惠之帶手機順便抓怪！
＃團長超愛捲餅也是山東人體質的粉絲留言請喊又！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1256985704373989/?type=3,https://www.facebook.com/kfctaiwan/posts/1256985704373989:0,2016-08-29T16:00:01+0000,photo,Timeline Photos,324273577645211_1256985704373989,19424,NONE,19143,false,false,ranked,497,false,812
"中秋送禮又送月餅，有～點～膩
金黃甜蜜的肯德基蛋撻，一咬就是幸福的滋味！
今年中秋，熟客們請和蛋撻禮盒一起同樂！即日起
＊買１本熟客券送１張原味蛋撻兌換券！
＊買３本熟客券送６張原味蛋撻兌換券！
超級優惠蛋撻活動詳情請見👉 http://goo.gl/owqsQR",http://goo.gl/owqsQR,https://www.facebook.com/kfctaiwan/posts/1249795025093057,2016-08-22T16:00:00+0000,link,肯德基『熟客有禮慶中秋，原味蛋撻請你吃』,324273577645211_1249795025093057,6038,NONE,5969,false,false,ranked,56,false,192
"百萬撻粉站出來！熟客券活動即日起正式開跑！(鳴槍Bangbangbang)
買1本送1顆、買3送6顆！這麼多好康，團長也要手刀衝去買啦！

活動內容：
- 買1本熟客券  送1顆原味蛋撻 (贈品券,價值$28)
- 買3本熟客券  送6顆原味蛋撻 (贈品券,價值$140)

注意事項
-活動期間：2016/8/23-2016/9/19 
-原味蛋撻贈品券，可加價兌換其他口味蛋撻，兌換期限「 2016/8/23-2016/12/31」，逾期恕無法兌換
-每本熟客券共3張，每張可兌換一盒原味蛋撻(6顆) ，可加價兌換其他口味蛋撻
-熟客券與贈品券不適用於網路訂餐
-詳細活動內容請以門市公告為主,肯德基保有修改優惠的權利",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1249773508428542/?type=3,https://www.facebook.com/kfctaiwan/posts/1249773508428542:0,2016-08-22T16:00:00+0000,photo,Timeline Photos,324273577645211_1249773508428542,368,NONE,356,false,false,ranked,27,false,119
"㊙全台抓寶趣！肯德基幫你送到家
想要抓到最新角色，不用再癡癡的等啦~
📣獨家絕招大公開!!
只要輸入地址，新角色自動送上門！🎁
尋寶傳送門>> https://goo.gl/gh8hzE

#KFCGOTCHA  #KFC外送  #肯德基抓寶 #喔爺到你家",https://goo.gl/gh8hzE,https://www.facebook.com/kfctaiwan/posts/1245640385508521,2016-08-18T10:58:27+0000,link,驚奇隱藏版！抓寶新角色就在肯德基,324273577645211_1245640385508521,7490,NONE,7395,false,false,ranked,67,false,80
"排隊等等等…等到女友不開心?

肯德基預訂快取，美味隨訂隨取，免等待！一個貼心小舉動，讓你一秒變暖男！現在預訂，滿額再享好禮三選一

征服女友的心，就靠肯德基預訂快取！
>> https://goo.gl/rN9uf8",https://goo.gl/rN9uf8,https://www.facebook.com/kfctaiwan/posts/1243303185742241,2016-08-16T11:32:46+0000,link,肯德基預訂快取，美味隨訂隨取,324273577645211_1243303185742241,5015,NONE,4949,false,false,ranked,62,false,87
"農曆七月諸事不宜，禁忌多！？
你敢挑戰 👉 顛覆想像的午夜野餐嗎?

KFC CHIZZA野餐派對組，陪你試膽野餐趣 💪💪💪
➡ https://goo.gl/T6ETvc",http://gph.is/2aUSwOs,https://www.facebook.com/kfctaiwan/posts/1242160639189829,2016-08-15T07:00:00+0000,link,gph.is,324273577645211_1242160639189829,24122,NONE,23676,false,false,ranked,114,false,219
"灑櫻花兒感謝  💜💜爺爺桶緣子愛心存錢桶💜💜公益銷售已進入最後倒數!!
☑療癒系100分+☑愛心值100000分! 限量的寶貝就該立馬抓住！

快來KFC補給一組回家收藏吧！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1240984869307406/?type=3,https://www.facebook.com/kfctaiwan/posts/1240984869307406:0,2016-08-14T01:51:52+0000,photo,Timeline Photos,324273577645211_1240984869307406,165,NONE,162,false,false,ranked,14,false,8
"【七夕抓寶也要抓甜蜜!!】
七夕這天，除了低頭抓寶，也要抬頭看看牛郎織女星，還有身邊的情人唷!! 💖
✔準備好電力滿滿的手機🐥
✔找個櫻花紛飛的公園🌸 🌸
✔帶著KFC CHIZZA雙人分享餐
就是要甜蜜抓寶吃CHIZZA過情人節! ❤❤

#KFCCHIZZA
#KFCPICNIC
#就是要抓寶吃CHIZZA",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1236670419738851/?type=3,https://www.facebook.com/kfctaiwan/posts/1236670419738851:0,2016-08-09T08:47:37+0000,photo,Timeline Photos,324273577645211_1236670419738851,277,NONE,269,false,false,ranked,5,false,13
"【88節野餐開趴教學】

快揪阿爸來過個不一樣的節吧!
✔趴萬: 先找個涼爽又寬廣的野餐點🌴
✔趴兔: 布置出時尚又舒適的場地🎶
✔趴水: 拿出美味又顛覆想像的KFCCHIZZA野餐派對組😍

就是全家一起過個不一樣爸爸節! ❤❤
#父親節快樂
#我愛爸爸
#KFCCHIZZA
#KFCPICNIC",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1233154133423813/?type=3,https://www.facebook.com/kfctaiwan/posts/1233154133423813:0,2016-08-05T11:23:21+0000,photo,Timeline Photos,324273577645211_1233154133423813,250,NONE,242,false,false,ranked,3,false,9
