message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length,message_tags/2/id,message_tags/2/name,message_tags/2/type,message_tags/2/offset,message_tags/2/length,message_tags/3/id,message_tags/3/name,message_tags/3/type,message_tags/3/offset,message_tags/3/length
"【#耶誕大餐 吃什麼？】
#肯德基 派對歡聚盒，一次擺平6張嘴，只要$749！
訂餐．訂餐．訂餐去！（因為太重要，所以說三次）ヾ(○゜▽゜○) (＠゜▽゜@)ノ
http://goo.gl/MQEwTP

#A咔派對雞 #FUN4享樂拼盤 #肯德基訂餐 #Xmas #Christmas #耶誕節",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/814844395254791/?type=3,https://www.facebook.com/kfctaiwan/posts/821712901234607:0,2014-12-24T02:00:01+0000,photo,Timeline Photos,324273577645211_814844395254791,8,245,NONE,245,false,false,ranked,3,false,,,,,,,,,,,,,,,,,,,,
"<3 <3 #聖誕節、#跨年 的續攤溫馨好去處：#肯德基！ <3 <3
為讓大家充分享受與親朋好友的歡聚時光，12/24 、12/31兩天部分餐廳將延長營業時間。
快找找鄰近你的餐廳營業到幾點！(＠゜▽゜@)ノ~~~
＞完整資訊：http://goo.gl/JLnSuK
＞查餐廳地址：http://goo.gl/daeyTv
＞搭配 #優惠券，多人歡聚也好省：http://goo.gl/GEsSCy

#Christmas #NewYear #聖誕節延長營業 #跨年延長營業",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/821330964606134/?type=3,https://www.facebook.com/kfctaiwan/posts/821337547938809,2014-12-23T11:06:02+0000,photo,Photos from KFC's post,324273577645211_821337547938809,2,120,NONE,120,false,false,ranked,1,false,,,,,,,,,,,,,,,,,,,,
"獨特醬汁搭配鮮嫩多汁的咔啦脆雞，酸酸甜甜的驚奇口感，讓人吮指回味、欲罷不能！
解FUN餐只要【＿＿元】，知道的粉絲請作答！
＞解FUN餐餐點內含：四塊 #A咔派對雞 + 四塊 #咔啦脆雞 + FUN 4享樂拼盤
＞馬上訂外送：http://goo.gl/3Bmu0K
＊圖片僅供參考，產品以實物為準。數量有限售完為止。限非早餐時段供應",http://goo.gl/3Bmu0K,https://www.facebook.com/kfctaiwan/posts/821281507944413,2014-12-23T09:16:51+0000,link,肯德基 A咔派對雞，解FUN的好滋味！,324273577645211_821281507944413,14,4060,NONE,4060,false,false,ranked,47,false,,,,,,,,,,,,,,,,,,,,
"週六補班補課怎麼嗨？放縱吃炸雞最嗨！
#肯德基「好食雞同樂餐」，給你最多香脆多汁的美味炸雞！
還有甜蜜蜜 #蛋撻 呦～ <3

外送專線：4128000(是你餓吧！鈴鈴鈴！)
#網路訂餐：http://goo.gl/TDgiHo （新加入會員獨享入會首購禮！）

#蛋塔 #預購優惠 #補班 #補課",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/821411994598031/?type=3,https://www.facebook.com/kfctaiwan/posts/821340177938546:3,2014-12-23T04:00:00+0000,photo,Timeline Photos,324273577645211_821411994598031,4,259,NONE,259,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"舌尖上的驚奇，派對裡的亮點，給你解放好滋味！
4塊 #A咔派對雞 + 4塊 #咔啦脆雞 + #FUN4享樂拼盤，只要$499！
＞找最近的 #肯德基：http://goo.gl/SD2Wtf
＞ #網路訂餐 送到家：http://goo.gl/wFX6ks
＞搭配 #優惠券，好省！http://goo.gl/Zf0E2V",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/814721931933704/?type=3,https://www.facebook.com/kfctaiwan/posts/821129511292946:0,2014-12-23T03:08:00+0000,photo,Timeline Photos,324273577645211_814721931933704,5,217,NONE,217,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"【肯德基也有 ""4G"" 】
爺爺也愛趕流行！即日起開放申辦 4 雞方案！？4雞！？
只要買全家餐或4份個人套餐，就可以用 $120 超值價買到 6 顆超好吃的 #蜜香烤蘋果蛋撻 喲！

＞立刻辦 #4G！啊不是，是立即點 #肯德基：http://goo.gl/qBxm4i （立即加入會員還享首購禮！）

#咔辣雞腿堡 #紐奧良烙烤雞腿堡 #墨西哥莎莎霸王捲 #乳酪起司雞腿堡 #蛋塔",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/817613171644580/?type=3,https://www.facebook.com/kfctaiwan/posts/820505211355376:0,2014-12-22T02:20:00+0000,photo,Timeline Photos,324273577645211_817613171644580,15,354,NONE,354,false,false,ranked,2,false,,,,,,,,,,,,,,,,,,,,
"【預購外帶／外送好禮三重送】
照過來照過來～想獲得　原味蛋撻禮盒＋上校雞塊分享盒、1.25L百事可樂、電話訂餐外送優惠券？這張趕快看詳細！
限期供應，搶 #好康 趁現在！

＞#網路訂餐：http://goo.gl/TUajMM （立即加入會員還享首購禮！）
＞電話訂餐　速撥：412-8000（手機撥打前面加02）",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/814153815323849/?type=3,https://www.facebook.com/kfctaiwan/posts/819597464779484:0,2014-12-21T02:40:01+0000,photo,Timeline Photos,324273577645211_814153815323849,,125,NONE,125,false,false,ranked,6,false,,,,,,,,,,,,,,,,,,,,
"大學生都 <3 #A咔派對雞，年末開趴就要這一味啦～
＞追流行，馬上訂來吃：http://goo.gl/Hl0e0U 
（新加入會員首購禮：加送一塊酸甜帶勁A咔派對雞！）

#大學生了沒 阿蹦 顏佑庭Yoshi 大學生了沒小隻 曾玄玄 Dora",http://www.ettoday.net/news/20141216/439590.htm,https://www.facebook.com/kfctaiwan/posts/817491434990087,2014-12-20T10:20:00+0000,link,肯德基推A咔派對雞　大學生搶吃大談開趴經驗,324273577645211_817491434990087,,120,NONE,120,false,false,ranked,0,false,498459303530807,陳允澤 - 阿蹦,page,94,2,110066899191611,顏佑庭Yoshi,page,97,8,236991373057287,小隻 周欣潔,page,106,7,624735830898112,曾玄玄 Sena,page,114,8
"＊阿呆與阿瓜，就在肯德基＊
周末放空歡樂新選擇！看「阿呆與阿瓜：賤招拆招」電影搭配 #A咔派對雞！
即日起到2015/01/05憑電影票票根，可以到 #肯德基 享用新品A咔派對雞第二套半價，兩份套餐只要 $218！

＞電影介紹：http://goo.gl/3KNXii
＞找最近的肯德基：http://goo.gl/htKhe4
＞了解更多好康：http://goo.gl/PpZp5Q",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/812632102142687/?type=3,https://www.facebook.com/kfctaiwan/posts/819062868166277:0,2014-12-20T03:00:00+0000,photo,Timeline Photos,324273577645211_812632102142687,5,197,NONE,197,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
"<3 <3 周五的小確幸 <3 <3
#蜜香烤蘋果蛋撻 無論獨享或分享，都能甜甜甜～～進心坎兒裡
搭配 #優惠券，吃甜甜還可以省$$～趕快分享出去！
＞看更多 #COUPON：http://goo.gl/BePXKU

#好康 #折價券 #蛋塔",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/817458214993409/?type=3,https://www.facebook.com/kfctaiwan/posts/818569801548917:0,2014-12-19T03:00:00+0000,photo,Timeline Photos,324273577645211_817458214993409,23,297,NONE,297,false,false,ranked,3,false,,,,,,,,,,,,,,,,,,,,
"【#肯德基訂餐．新會員首購有禮】
即日起到2015/01/26，凡新註冊肯德基網路訂餐會員，首購單筆金額>$450，免費加贈解FUN的好滋味 #A咔派對雞 一塊！限量供應，送完為止！
＞立即 #網路訂餐：http://goo.gl/SDvKez 
＞「阿呆與阿瓜就在 #肯德基」好康活動進行中！http://goo.gl/PpZp5Q",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/817621364977094/?type=3,https://www.facebook.com/kfctaiwan/posts/817980854941145:0,2014-12-18T02:25:00+0000,photo,Timeline Photos,324273577645211_817621364977094,5,146,NONE,146,false,false,ranked,0,false,,,,,,,,,,,,,,,,,,,,
