message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"母親節怎麼過最對味? 肯德基給媽媽最不一樣的日式風味!!!
道地日式醬汁與酥脆炸雞完美組合，再撒上海苔，每一口充滿濃濃日式風味，真的很不一樣!!!!! 
和家人一起分享的最佳選擇，幸福分享餐，限定販售中!
了解更多→http://goo.gl/cYDhRq
立即訂購→https://goo.gl/YFQ8V4",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/912554555483774/?type=3,https://www.facebook.com/kfctaiwan/posts/912554555483774:0,2015-05-09T08:00:03+0000,photo,Timeline Photos,324273577645211_912554555483774,2,214,NONE,214,false,false,ranked,3,false,,,,,,,,,,
"也在趕著回家陪媽咪的人舉手！（手舉高高）
回家當然不能兩串蕉！快用 #優惠券 把最夯美味一起帶回家，給心 <3 的媽媽和家人一起品嘗～
＞下載更多 #COUPON：http://goo.gl/xM0XU8
（出示圖片立即兌換）
#伴手禮 #母親節",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/911408075598422/?type=3,https://www.facebook.com/kfctaiwan/posts/911408075598422:0,2015-05-09T02:25:03+0000,photo,Timeline Photos,324273577645211_911408075598422,49,356,NONE,356,false,false,ranked,6,false,,,,,,,,,,
"母の日~阿里阿兜 (*☉౪⊙*)
在餐桌上一字排開日式醬味海苔脆雞、鮮嫩多汁咔啦脆雞、香酥涮嘴經典拼盤、沁涼有勁百事可樂..(滴口水)
肯德基派對歡聚餐，一起開動吧！

現在就上 #網路訂餐：http://goo.gl/1e1btH
或撥訂餐專線：4128-000 (是你餓吧!鈴鈴鈴)",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901938206545409/?type=3,https://www.facebook.com/kfctaiwan/posts/901938206545409:0,2015-05-08T08:00:02+0000,photo,Timeline Photos,324273577645211_901938206545409,4,182,NONE,182,false,false,ranked,0,false,,,,,,,,,,
"肯德基推出日式紅豆抹香蛋撻，綿密紅豆泥與抹茶淋醬的完美搭配，吃得到最幸福的日式風味! 
品嚐日式道地風情，不用到日本! 
原味蛋撻+日式紅豆抹香風味, 雙色蛋撻禮盒,限定供應中! 
立刻購→https://goo.gl/vbKFp4",https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=ppa_link&utm_campaign=0508_ETbox,https://www.facebook.com/kfctaiwan/posts/912485145490715,2015-05-08T07:22:03+0000,link,肯德基日式紅豆抹香蛋撻雙色禮盒 限定販售中,324273577645211_912485145490715,129,10878,NONE,10878,false,false,ranked,155,false,,,,,,,,,,
"媽媽辛苦了！肯德基陪你一起 #寵愛媽咪 <3
跟媽咪和寶貝家人分享的每一口蛋撻，都能緊緊連結彼此的心～ 
#網路訂購 好優惠：雙色蛋撻禮盒加點價$129＞＞http://goo.gl/0R3MVy

#母親節 #MothersDay #ILoveMommy #日式紅豆抹香蛋撻 #蛋塔",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/895683677170862/?type=3,https://www.facebook.com/kfctaiwan/posts/895683677170862:0,2015-05-07T13:00:03+0000,photo,Timeline Photos,324273577645211_895683677170862,8,201,NONE,201,false,false,ranked,3,false,,,,,,,,,,
"爺吃的不是 #手扒雞，爺吃的是溫暖 (y)
肯德基 #手扒雞溫暖餐，#母親節 #限量 熱賣中～

現在就上 #網路訂餐：http://goo.gl/m9YC1o
或撥訂餐專線：412-8000 (是你餓吧!鈴鈴鈴)

#期間限定 #限量供應",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901236443282252/?type=3,https://www.facebook.com/kfctaiwan/posts/901236443282252:0,2015-05-06T10:34:03+0000,photo,Timeline Photos,324273577645211_901236443282252,27,311,NONE,311,false,false,ranked,6,false,,,,,,,,,,
"原來這麼簡單就能討媽咪歡心！！
肯德基多種歡聚餐，同時有4種炸烤雞口味選擇，還可任選附餐～
超人氣的『日式醬味海苔脆雞』跟『日式紅豆抹香蛋撻』都有耶！

人氣指名NO.1幸福分享餐 
立刻購→https://goo.gl/PjN6uv",https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=ppa_link&utm_campaign=0506_Shoyu409,https://www.facebook.com/kfctaiwan/posts/911247628947800,2015-05-06T04:02:18+0000,link,母親節給媽媽來點不一樣的？肯德基幸福分享餐 限定上市,324273577645211_911247628947800,18,3515,NONE,3515,false,false,ranked,20,false,,,,,,,,,,
"#母親節 還沒想好怎麼慶祝？爺爺幫你打點好！
肯德基歡聚分享餐不僅份量夠，又能同時品嚐到日式雙天王！ 聰明心選擇， #預訂自取 還享好禮三選一！

＞#手機訂餐：http://goo.gl/vlLBJ6
＞#網路訂餐：http://goo.gl/94Ce8h

#日式醬味海苔脆雞 #日式紅豆抹香蛋撻",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901122409960322/?type=3,https://www.facebook.com/kfctaiwan/posts/901122409960322:0,2015-05-05T12:30:03+0000,photo,Timeline Photos,324273577645211_901122409960322,6,336,NONE,336,false,false,ranked,5,false,,,,,,,,,,
"+2，+2，通通都+2～
親愛的粉絲，你最喜歡哪種優惠組合？
（手機出示圖片立即享優惠，快分享出去！）
＞下載更多 #COUPON：http://goo.gl/0lIrOO
#優惠券 #折價券",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901142619958301/?type=3,https://www.facebook.com/kfctaiwan/posts/901142619958301:0,2015-05-03T02:45:02+0000,photo,Timeline Photos,324273577645211_901142619958301,147,634,NONE,634,false,false,ranked,5,false,,,,,,,,,,
"8-) 預購外送／外帶好禮雙重送！送！送！ 8-) 
最聰明的點餐方式，分享給最內行的你！ 
趕快看清楚．存起來．轉出去～～

＞#肯德基訂餐：http://goo.gl/OqqO6Z
＞#手機點餐：http://goo.gl/o6vPLD",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/897549616984268/?type=3,https://www.facebook.com/kfctaiwan/posts/897549616984268:0,2015-05-02T10:20:03+0000,photo,Timeline Photos,324273577645211_897549616984268,8,142,NONE,142,false,false,ranked,0,false,,,,,,,,,,
