link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message
http://goo.gl/QszfTl,https://www.facebook.com/kfctaiwan/posts/1019412591464636,2015-10-19T16:00:00+0000,link,肯德基天天省早餐優惠$49元起,324273577645211_1019412591464636,58,9301,NONE,9301,false,false,ranked,25,false,"週年慶就是要來搶便宜～不然要幹嘛！
搶便宜計畫從一早啟動，CP最高的早餐就在肯德基早餐天天省，
美味餐點總匯歐姆蛋燒餅，配義大利最受歡迎的LAVAZZA好咖啡，
CP值簡直高到爆錶！　更多早餐優惠→ http://goo.gl/QszfTl"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1022223091183586/?type=3,https://www.facebook.com/kfctaiwan/posts/1022223091183586:0,2015-10-19T09:26:29+0000,photo,Timeline Photos,324273577645211_1022223091183586,8,182,NONE,182,false,false,ranked,19,false,"冷冷的Monday blue即將結束! 好好吃個XL套餐給自已加加油!!
現在使用預訂快取滿$159，還送小點心三選一!
嗯…多出來的小點心…你說與誰共享呢?
手機預訂快取  https://goo.gl/EUMQYM
電腦預訂快取  https://goo.gl/XdcTzu"
http://kfcxlavazza.com.tw/?utm_source=FB_cpc&utm_medium=W3_ppa_link&utm_campaign=0929_KFCbreakfast,https://www.facebook.com/kfctaiwan/posts/1016108371795058,2015-10-13T16:27:49+0000,link,肯德基天天省早餐優惠$49元起,324273577645211_1016108371795058,40,9705,NONE,9705,false,false,ranked,20,false,"把握開會前黃金時刻，三步驟教你「省時又省錢」享受美味早餐！
步驟一：前往 http://goo.gl/JYaUWy 看本週早餐優惠
步驟二：準備好50元銅板放口袋，到肯德基門市大聲喊：「我要一個吮指嫩雞蛋烤餅套餐！」
步驟三：和同事分享美味餐點，開會不忘義大利最受歡迎的LAVAZZA好咖啡陪伴，讓你精神百倍，思緒都完整！"
https://goo.gl/H3R8By,https://www.facebook.com/kfctaiwan/posts/1018731134866115,2015-10-13T16:26:08+0000,link,肯德基《重量級XL套餐》最過癮,324273577645211_1018731134866115,48,5828,NONE,5828,false,false,ranked,44,false,"一般套餐不夠填滿你的胃？《重量級XL套餐》強勢登場、美味升級！
讓你大口咬下咔啦脆雞和香濃原味蛋撻，甜的鹹的通通有，
超值份量一次滿足～ 立即訂購→ https://goo.gl/H3R8By"
http://www.kfcclub.com.tw/Menu/Coupon/?utm_source=FB_cpc&utm_medium=ppa_link_2&utm_campaign=0915_CouponQ3W2,https://www.facebook.com/kfctaiwan/posts/1018640174875211,2015-10-13T03:28:38+0000,link,肯德基 激省攻略大公開,324273577645211_1018640174875211,105,6189,NONE,6189,false,false,ranked,30,false,網友瘋狂轉PO的省錢大絕～揭曉啦！數十種激省優惠任你選，怎麼吃都划算，讓你吃得飽飽又可以現省千元。立即下載優惠券 http://goo.gl/mKWPCr
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1014491005290128/?type=3,https://www.facebook.com/kfctaiwan/posts/1014491005290128:0,2015-10-06T06:51:00+0000,photo,Timeline Photos,324273577645211_1014491005290128,11,215,NONE,215,false,false,ranked,20,false,"啥!!!想吃醬烤煙燻雞~但是 不  想  排  隊~?!
好啦好啦!!小編幫你謀福利!!!
BBQ醬煙燻雞2塊+小可一杯 原價$125 嚐鮮價$99
首次在『網路外帶-最新促銷區』開賣啦~
只限10/6~10/12非早餐時段適用快快把握哦
手機訂餐   https://goo.gl/CZv0sb
電腦訂餐   https://goo.gl/BIM5Cc"
https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=W2_ppa_link&utm_campaign=0929_XLCombo,https://www.facebook.com/kfctaiwan/posts/1014487035290525,2015-10-05T16:00:01+0000,link,肯德基《重量級XL套餐》最過癮,324273577645211_1014487035290525,34,4600,NONE,4600,false,false,ranked,56,false,"看球賽時的最佳選擇，肯德基《重量級XL套餐》！！
內含吮指脆雞、勁爆雞米花、濃郁蛋撻等多重美味，
讓你吃飽全身有活力，成為電視機前最稱值的球迷～啟動最高分貝尖叫聲～
來123，加油加油加油！       立即訂購→ https://goo.gl/LnVqII"
http://kfcxlavazza.com.tw/?utm_source=FB_cpc&utm_medium=W2_ppa_link&utm_campaign=0929_KFCbreakfast,https://www.facebook.com/kfctaiwan/posts/1014475935291635,2015-10-05T16:00:01+0000,link,肯德基天天省早餐優惠$49元起,324273577645211_1014475935291635,21,609,NONE,609,false,false,ranked,13,false,"肯德基早餐天天省$49元起，讓你天天美味「雙食」！
一口主廚燻雞燒餅，配義大利最受歡迎LAVAZZA咖啡
雙十連假就該雙食享受，迎接美好的一天吧～
更多早餐優惠→http://goo.gl/jwsLgt"
http://kfcxlavazza.com.tw/?utm_source=FB_cpc&utm_medium=W1_ppa_link&utm_campaign=0929_KFCbreakfast,https://www.facebook.com/kfctaiwan/posts/1011917812214114,2015-09-30T16:00:01+0000,link,肯德基天天省早餐優惠$49元起,324273577645211_1011917812214114,38,815,NONE,815,false,false,ranked,43,false,"【早餐省$經濟學，開課囉！】
早餐吃的營養不用花大錢~
皮酥肉嫩多汁的吮指嫩雞與新鮮嫩蛋，補充一天所需要的蛋白質。
配上一杯義大利最受歡迎的LAVAZZA好咖啡，套餐只要$49元起！
更多早餐優惠→ http://goo.gl/eOGZA8"
,https://www.facebook.com/kfctaiwan/posts/1018093518263210,2015-09-30T04:00:00+0000,status,,324273577645211_1018093518263210,,70,NONE,70,false,false,ranked,0,false,"【9月預訂快取品質滿意度調查】網路問卷填寫者得獎名單如下
鄭x堯，黃x逸，陳x文，張x榕，陳x潔 ，張x富，楊x婷，鄒x壯，黃x鈞 ，張x玲 
將於10/20前寄出肯德基100元禮卷~敬請查收"
https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=W1_ppa_link&utm_campaign=0929_XLCombo,https://www.facebook.com/kfctaiwan/posts/1009359199136642,2015-09-28T16:00:01+0000,link,肯德基《重量級XL套餐》強勢登場,324273577645211_1009359199136642,42,1031,NONE,1031,false,false,ranked,40,false,"地表最強重量級人氣團體～《重量級XL套餐》登場！
由KFC眾明星組合的經典美味，只有吃貨才知道！
吮指脆雞、勁爆雞米花、濃郁蛋撻等多重美味，超值美味，一次滿足！
立即訂購→ https://goo.gl/XjQfch"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/984520251620537/?type=3,https://www.facebook.com/kfctaiwan/posts/984520251620537:0,2015-09-27T15:04:46+0000,photo,Timeline Photos,324273577645211_984520251620537,47,1436,NONE,1436,false,false,ranked,13,false,"因應颱風襲台，為保障外送服務人員人身安全，如地方縣市政府宣布停止上班時，肯德基該縣市門市將暫停外送服務，僅保留外帶/車道/內用/網路預訂快取服務。
停班停課縣市的餐廳，將視情形提供部分限定餐點，謝謝您的體諒。"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/999529813452914/?type=3,https://www.facebook.com/kfctaiwan/posts/999529813452914:0,2015-09-25T01:07:00+0000,photo,Timeline Photos,324273577645211_999529813452914,16,353,NONE,353,false,false,ranked,7,false,"中秋前的星期五，好想要Free style一下！
大口吃炸雞是不是讓人更有提前放假的感覺呢？

網路訂外送/外帶：https://goo.gl/hwGN95
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/999529083452987/?type=3,https://www.facebook.com/kfctaiwan/posts/999529083452987:0,2015-09-23T01:05:00+0000,photo,Timeline Photos,324273577645211_999529083452987,24,318,NONE,318,false,false,ranked,5,false,"有沒有試過跟好朋友一起戴上手套，共同吃一隻香噴噴的烤雞？
期間現定的手扒雞溫暖餐，在每年快要入冬時，都會賣得特別好
想要一起吃烤雞的夥伴，你心中已經有名單了嗎？

網路訂外送/外帶：https://goo.gl/hwGN95
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=ppa_link&utm_campaign=V2ProductCO,https://www.facebook.com/kfctaiwan/posts/992993207439908,2015-09-23T00:00:01+0000,link,肯德基《預訂快取》免排隊,324273577645211_992993207439908,42,4397,NONE,4397,false,false,ranked,17,false,"想吃炸雞，排隊卻好久？現在來肯德基「預訂外帶」
不僅免排隊，現在還能再享優惠！網路預訂外帶滿$159或$429，再送好禮三選一 ，7天內都能預訂！立即GO https://goo.gl/7laO8H"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/999528580119704/?type=3,https://www.facebook.com/kfctaiwan/posts/999528580119704:0,2015-09-22T01:04:01+0000,photo,Timeline Photos,324273577645211_999528580119704,22,344,NONE,344,false,false,ranked,4,false,"從外送員手上，接到熱騰騰的紙包雞，打開錫箔紙，冒出撲鼻香氣～
開始上班的第二天，給自己補充元氣！

網路訂外送/外帶：https://goo.gl/hwGN95
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://goo.gl/hwGN95,https://www.facebook.com/kfctaiwan/posts/999528136786415,2015-09-20T01:02:00+0000,link,肯德基KFC網路訂餐,324273577645211_999528136786415,10,60,NONE,60,false,false,ranked,8,false,"月圓人團圓，粉絲們會覺得九月特別多攤，一直有很多朋友約見面嗎？
位子訂不到怎麼辦，別焦慮！肯德基外送給你～

網路訂外送/外帶：https://goo.gl/hwGN95
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.youtube.com/watch?v=FuWvVgi1tpU&utm_source=FB_cpc&utm_medium=ppa_video&utm_campaign=0901_BBQgrilled_Popdaily,https://www.facebook.com/kfctaiwan/posts/1005418662864029,2015-09-18T16:00:02+0000,video,四種血型女友：中秋要不要烤肉？,324273577645211_1005418662864029,66,2141,NONE,2141,false,false,ranked,33,false,"【獨家】 超準！4揰血型最開燻的中秋美食大公開 
立即訂購：https://goo.gl/zvAzTB"
